year,month,fuel_type,count
2024,11,Petrol,5109
2024,12,BEV,5530
2024,12,Diesel,2207
2024,12,Diesel Hybrid,1301
2024,12,Hydrogen,1
2024,12,LPG,2
2024,12,PHEV,9667
2024,12,Petrol,6279
2025,1,BEV,2951
2025,1,Diesel,1236
2025,1,Diesel Hybrid,942
2025,1,Hydrogen,1
2025,1,LPG,1
2025,1,PHEV,5967
2025,1,Petrol,3885
2025,2,BEV,3428
2025,2,Diesel,1278
2025,2,Diesel Hybrid,725
2025,2,Hydrogen,1
2025,2,LPG,2
2025,2,PHEV,6765
2025,2,Petrol,4087
2025,3,BEV,4472
2025,3,Diesel,1616
2025,3,Diesel Hybrid,1035
2025,3,PHEV,9370
2025,3,Petrol,5335
2025,4,BEV,3465
2025,4,Diesel,1332
2025,4,Diesel Hybrid,1033
2025,4,Hydrogen,1
2025,4,PHEV,7745
2025,4,Petrol,5034
2025,5,BEV,4217
2025,5,Diesel,1389
2025,5,Diesel Hybrid,1002
2025,5,LPG,1
2025,5,PHEV,8513
2025,5,Petrol,4906
2025,6,BEV,5064
2025,6,Diesel,1520
2025,6,Diesel Hybrid,1045
2025,6,LPG,1
2025,6,PHEV,9659
2025,6,Petrol,5382
2025,7,BEV,3817
2025,7,Diesel,1503
2025,7,Diesel Hybrid,828
2025,7,PHEV,7988
2025,7,Petrol,4412
2025,8,BEV,3308
2025,8,Diesel,1188
2025,8,Diesel Hybrid,818
2025,8,PHEV,7042
2025,8,Petrol,3910
2025,9,BEV,5192
2025,9,Diesel,1118
2025,9,Diesel Hybrid,889
2025,9,PHEV,8422
2025,9,Petrol,4355
2025,10,BEV,4268
2025,10,Diesel,1180
2025,10,Diesel Hybrid,819
2025,10,Hydrogen,1
2025,10,PHEV,7946
2025,10,Petrol,4342
2025,11,BEV,4830
2025,11,Diesel,1241
2025,11,Diesel Hybrid,812
2025,11,PHEV,8136
2025,11,Petrol,4623
2025,12,BEV,8510
2025,12,CNG,1
2025,12,Diesel,1355
2025,12,Diesel Hybrid,1137
2025,12,PHEV,9980
2025,12,Petrol,5483
2026,1,BEV,2966
2026,1,Diesel,886
2026,1,Diesel Hybrid,816
2026,1,PHEV,6536
2026,1,Petrol,2998
2026,2,BEV,3100
2026,2,CNG,1
2026,2,Diesel,920
2026,2,Diesel Hybrid,740
2026,2,PHEV,6972
2026,2,Petrol,3789
